Ticker,DateKey,month_end_close,monthly_high,monthly_low,total_volume,monthly_return
A,201302,41.48,45.35,40.19,59245982,
A,201303,41.97,43.52,40.73,66380607,1.1812921890067551
A,201304,41.44,44.785,40.32,83068995,-1.262806766738149
A,201305,45.45,47.473,41.236,93213679,9.676640926640939
A,201306,42.76,46.45,41.85,68548430,-5.918591859185929
A,201307,44.73,46.9,42.72,52863018,4.607109448082317
A,201308,46.64,48.33,45.32,50122386,4.270064833445124
A,201309,51.25,53.47,46.615,65147629,9.884219554030874
A,201310,50.76,53.24,49.39,51469765,-0.9560975609756136
A,201311,53.57,55.74,49.84,52314595,5.535855003940115
A,201312,57.19,57.94,52.56,42422291,6.757513533694228
A,201401,58.15,61.22,56.15,52581843,1.678615142507433
A,201402,56.93,60.46,54.87,71523971,-2.0980223559759223
A,201403,55.92,59.32,54.22,51123258,-1.7741085543650064
A,201404,54.04,57.24,51.96,42232408,-3.3619456366237523
A,201405,56.94,57.38,53.66,45811931,5.366395262768317
A,201406,57.44,59.58,56.3,30336688,0.8781173164734809
A,201407,56.09,58.59,55.135,39499852,-2.3502785515320235
A,201408,57.16,59.06,54.189,38178910,1.9076484221786292
A,201409,56.98,59.4,55.92,36205314,-0.3149055283414971
A,201410,55.28,57.16,49.8,60115136,-2.9835029835029765
A,201411,42.74,42.985,39.49,56373710,-22.68451519536903
A,201412,40.94,42.73,38.09,48812443,-4.211511464670108
A,201501,37.77,41.31,37.68,53095065,-7.743038593063006
A,201502,42.21,42.49,37.71,52418856,11.755361397934863
A,201503,41.55,42.74,40.3703,44856435,-1.563610518834408
A,201504,41.37,43.59,40.72,47259122,-0.433212996389891
A,201505,41.19,42.93,40.82,44098857,-0.4350978970268303
A,201506,38.58,41.43,38.48,58978918,-6.336489439184268
A,201507,40.95,41.14,38.61,54239332,6.143079315707633
A,201508,36.31,41.35,33.57,56318572,-11.330891330891331
A,201509,34.33,36.99,33.245,47115218,-5.453043238777207
A,201510,37.76,38.1,33.115,52998194,9.99126128750364
A,201511,41.82,42.2,36.5,74666988,10.752118644067803
A,201512,41.81,42.48,39.9,59286197,-0.023912003825915854
A,201601,37.65,41.19,36.01,50735187,-9.949772781631196
A,201602,37.35,38.19,34.15,53438419,-0.7968127490039766
A,201603,39.85,40.58,37.61,37124031,6.693440428380187
A,201604,40.92,41.995,39.17,34715507,2.6850690087829365
A,201605,45.89,46.0,40.39,53551644,12.14565004887585
A,201606,44.36,46.68,41.98,52014373,-3.3340597079973873
A,201607,48.11,48.175,43.36,34720042,8.45356176735798
A,201608,46.98,48.63,46.09,45192695,-2.3487840365828365
A,201609,47.09,47.39,44.47,38865627,0.2341421881651906
A,201610,43.57,48.15,43.11,37265914,-7.4750477808451965
A,201611,43.98,47.8,43.14,53250890,0.9410144594904672
A,201612,45.56,46.92,42.92,34087627,3.592542064574819
A,201701,48.97,49.48,45.74,45136618,7.484635645302889
A,201702,51.3,51.94,48.47,39157401,4.758015111292624
A,201703,52.87,54.82,50.86,40891229,3.060428849902535
A,201704,55.05,55.505,52.26,32353359,4.123321354265178
A,201705,60.34,60.81,55.36,50973625,9.609445958219812
A,201706,59.31,61.15,57.92,42771209,-1.7069937023533328
A,201707,59.79,61.84,59.07,32320948,0.8093070308548252
A,201708,64.72,64.83,58.22,43423809,8.245526007693593
A,201709,64.2,66.45,63.72,28131523,-0.803461063040785
A,201710,68.03,68.52,64.21,31268971,5.965732087227411
A,201711,69.24,70.93,66.25,41720285,1.778627076289863
A,201712,66.97,70.0,65.601,36036937,-3.2784517619872853
A,201801,73.43,75.0,67.34,38584288,9.646110198596398
A,201802,68.06,73.78,66.13,12934230,-7.313087294021522
AAL,201302,13.43,15.12,12.7,157395500,
AAL,201303,16.97,17.43,13.32,187166700,26.35889798957557
AAL,201304,16.9,17.13,15.03,152135500,-0.4124926340601078
AAL,201305,17.57,19.7,16.6,127394000,3.9644970414201284
